aspect,pro,anti,total,diff,abs_diff,pro_share,anti_share
health care,67,0,67,67,67,1.0,0.0
lie,0,66,66,-66,66,0.0,1.0
lies,0,66,66,-66,66,0.0,1.0
black lives,64,0,64,64,64,1.0,0.0
tucker,0,63,63,-63,63,0.0,1.0
education,62,0,62,62,62,1.0,0.0
white man,0,61,61,-61,61,0.0,1.0
law,465,406,871,59,59,0.5338691159586682,0.4661308840413318
magas,0,59,59,-59,59,0.0,1.0
black lives matter,59,0,59,59,59,1.0,0.0
sexual assault,0,58,58,-58,58,0.0,1.0
mass shooter,0,55,55,-55,55,0.0,1.0
trumps,0,55,55,-55,55,0.0,1.0
mccarthy,0,54,54,-54,54,0.0,1.0
medicare,53,0,53,53,53,1.0,0.0
laws,271,219,490,52,52,0.5530612244897959,0.44693877551020406
evidence,52,0,52,52,52,1.0,0.0
floyd,50,0,50,50,50,1.0,0.0
protest,26,73,99,-47,47,0.26262626262626265,0.7373737373737373
mass shooting,0,47,47,-47,47,0.0,1.0
newsom,0,44,44,-44,44,0.0,1.0
families,42,0,42,42,42,1.0,0.0
diversity,55,14,69,41,41,0.7971014492753623,0.2028985507246377
fbi,0,41,41,-41,41,0.0,1.0
university,0,40,40,-40,40,0.0,1.0
patriots,39,0,39,39,39,1.0,0.0
mom,0,39,39,-39,39,0.0,1.0
proof,39,0,39,39,39,1.0,0.0
protesters,3,41,44,-38,38,0.06818181818181818,0.9318181818181818
white americans,36,0,36,36,36,1.0,0.0
white women,36,0,36,36,36,1.0,0.0
extremism,0,36,36,-36,36,0.0,1.0
lives,35,0,35,35,35,1.0,0.0
racial justice,35,0,35,35,35,1.0,0.0
white folks,34,0,34,34,34,1.0,0.0
bill clinton,0,34,34,-34,34,0.0,1.0
jesus,33,0,33,33,33,1.0,0.0
dangerous terrorist threat,0,33,33,-33,33,0.0,1.0
dems,36,5,41,31,31,0.8780487804878049,0.12195121951219512
climate change,0,31,31,-31,31,0.0,1.0
marine veteran,0,31,31,-31,31,0.0,1.0
civil rights,31,0,31,31,31,1.0,0.0
girls,30,0,30,30,30,1.0,0.0
medicaid,30,0,30,30,30,1.0,0.0
daniel perry,0,30,30,-30,30,0.0,1.0
white person,29,0,29,29,29,1.0,0.0
illegals,0,29,29,-29,29,0.0,1.0
disinformation,0,28,28,-28,28,0.0,1.0
march,28,0,28,28,28,1.0,0.0
house republicans,0,26,26,-26,26,0.0,1.0
president trump,25,0,25,25,25,1.0,0.0
seditious conspiracy,0,24,24,-24,24,0.0,1.0
kid,23,0,23,23,23,1.0,0.0
govt,0,23,23,-23,23,0.0,1.0
inclusion,24,3,27,21,21,0.8888888888888888,0.1111111111111111
confederacy,0,21,21,-21,21,0.0,1.0
white mob,0,21,21,-21,21,0.0,1.0
american people,20,0,20,20,20,1.0,0.0
student,20,0,20,20,20,1.0,0.0
facts,20,0,20,20,20,1.0,0.0
judge,0,20,20,-20,20,0.0,1.0
false flag,0,19,19,-19,19,0.0,1.0
patriot,19,0,19,19,19,1.0,0.0
injustice,0,19,19,-19,19,0.0,1.0
black men,19,0,19,19,19,1.0,0.0
white supremacist beliefs,0,18,18,-18,18,0.0,1.0
white race,17,0,17,17,17,1.0,0.0
bidens,0,17,17,-17,17,0.0,1.0
bbc,0,16,16,-16,16,0.0,1.0
life,16,0,16,16,16,1.0,0.0
equality,15,0,15,15,15,1.0,0.0
greg abbott,0,15,15,-15,15,0.0,1.0
biden administration,0,14,14,-14,14,0.0,1.0
texas mall shooter,0,14,14,-14,14,0.0,1.0
abbott,0,14,14,-14,14,0.0,1.0
peace,13,0,13,13,13,1.0,0.0
blm protester,13,0,13,13,13,1.0,0.0
black children,13,0,13,13,13,1.0,0.0
baby,12,0,12,12,12,1.0,0.0
faith,11,0,11,11,11,1.0,0.0
homeless black man,11,0,11,11,11,1.0,0.0
deaths,0,11,11,-11,11,0.0,1.0
sexism,0,11,11,-11,11,0.0,1.0
false narrative,0,10,10,-10,10,0.0,1.0
illegal immigrants,0,10,10,-10,10,0.0,1.0
netflix,0,9,9,-9,9,0.0,1.0
race card,0,9,9,-9,9,0.0,1.0
liberty,9,0,9,9,9,1.0,0.0
white media,0,9,9,-9,9,0.0,1.0
churches,9,0,9,9,9,1.0,0.0
